LGA Status,Program Name,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners/ Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb/Location,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project,Local Government Area (LGA),RAP Region (based on Project Location),State Electorate,Contractual Commitment ($ GST excl.),Approval Date,Approval Year,Indigenous_Related,Medical_Related
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Mater Misericordiae Ltd 
 Khondrion BV",MitoKhondrion: Decreasing COVID-19 mortality by increasing the functioning of our cell’s powerhouses – Mitchell Sullivan,Woolloongabba,4102,"The University of Queensland, St Lucia, Brisbane, 4072: Mater Hospital, Woolloongabba, Brisbane, 4101",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland - RBWH - Herston,Herston,4029,," The Royal Brisbane and Women's Hospital 
 Princess Alexandra Hospital 
 Department of Health - Forensic and Scientific Services 
 Department of Health - Pathology Queensland",Automating Infectious Disease Surveillance with Artificial Intelligence - Brian Forde ,Herston,4029,,Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Queensland Urban Utilities 
 BGI Australia 
 Queensland Health",Combating the transmission of coronavirus in urban water systems through novel disinfection - Ji Lu,St Lucia,4067,"Pinkenba, Brisbane, QLD",Brisbane (C),Brisbane and Redlands,Maiwar,180000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,University of Southern Queensland,Springfield Central,4300,," NetCare Holdings Pty Ltd 
 Metro North Hospital and Health Service 
 Cogninet Australia Pty Ltd",Using Artificial Intelligence to prioritise emergency calls for suicide prevention due to COVID-19 pandemic - Rajib Rana,Springfield Central,4300,"Mermaid Beach, QLD; Herston, QLD",Ipswich (C),Ipswich,Jordan,300000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Vaxxas Pty Ltd 
 Technovalia Pty Ltd",Enhancing COVID-19 vaccination and pandemic preparedness via Nanopatch skin delivery - David Muller,St Lucia,4067,"Vaxxas, Woollongabba, Queensland",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,, AI Fluidics Pty Ltd,Point-of-care diagnostic device incorporating microfluidic technology and electrochemical biosensing platform for COVID-19 detection-Yusuf Kaneti,St Lucia,4067,"1917 Logan Rd, Upper Mount Gravatt, QLD 4122",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," University of Sao Paulo 
 Australian Red Cross Lifeblood 
 Queensland Health 
 BioCifer Pty Ltd",Chimeric insect-specific viruses for laboratory and point-of-care diagnosis of emergent viral disease - Jody Hobson-Peters,St Lucia,4067,"39 Kessels Rd, Coopers Plains, QLD, 4108",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," OzKleen Asia-Pacific Pty Ltd 
 Gelita Australia Pty Ltd",Developing an antiviral surface cleaner utilising unique surface adsorption properties of gelatine-hydrolysate - Heather Shewan,St Lucia,4067,"50 Flood Rd, Josephville, Queensland 4285, Australia and 111 Lahrs Rd, Ormeau QLD 4208",Brisbane (C),Brisbane and Redlands,Maiwar,90000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,, Aegros Innovations Pty Ltd,Application of separation technologies for rapid treatment of COVID-19 and related outbreaks – Craig Bell,St Lucia,4067,87-129 Pennant Hills Rd North Parramatta NSW 2151,Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Xing Technologies Pty Ltd 
 Aegros Ltd",Novel Virus Trap Nanotechnology for COVID-19 Detection - Christopher Howard,St Lucia,4067,"Xing Technologies Ltd 532 Seventeen Mile Rocks Rd, Sinnamon Park, QLD, 4073, Australia",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,, Alsonex Pty Ltd,Advancing a clinical drug targeting the complement system to treat COVID-19 - John Lee,St Lucia,4067,,Brisbane (C),Brisbane and Redlands,Maiwar,150000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology,Brisbane City,4000,," Commonwealth Scientific and Industrial Research Organisation 
 3d Systems Asia-pacific Pty Ltd 
 Edale Capital Pty Ltd",Rapid Response Medical Manufacturing – Naomi Paxton,Herston,4006,Geelong VIC,Brisbane (C),Brisbane and Redlands,McConnel,180000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology,Brisbane City,4000,," Panda Healthcare Pty Ltd 
 Metro North Hospital and Health Service - Royal Brisbane and Women's Hospital 
 Sri Medical Devices and Healthcare Solutions Pty Ltd",Antiviral and antibacterial surfaces using nanotechnology for Queensland hospitals – Alka Jaggessar,Brisbane City,4000,"Panda Healthcare Pty Ltd (Bonogin, QLD), Royal Brisbane and Women's Hospital (Herston, QLD), Institute for Health and Biomedical Innovation (Kelvin Grove, QLD), and Sri Medical Devices and Healthcare Solutions Pty Ltd (Brookfield, QLD).",Brisbane (C),Brisbane and Redlands,McConnel,120000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology,Brisbane City,4000,," Metrohm Australia Pty Ltd 
 Sullivan Nicolaides Pathology Pty Ltd 
 Flew Solutions Australia Pty Ltd",Development and validation of a Raman spectroscopy assay for COVID-19 antigen detection in mucus - Kristyan Guppy-Coles,Bowen Hills,4006,QUT Kelvin Grove and Gardens Point campuses,Brisbane (C),Brisbane and Redlands,McConnel,90000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology,Kelvin Grove,4059,," The Prince Charles Hospital Foundation 
 Metro North Hospital and Health Service - The Prince Charles Hospital",Statistical modelling to support clinical decision making for critically ill COVID-19 patients - Nicole White,Kelvin Grove,4059,"Chermside, QLD",Brisbane (C),Brisbane and Redlands,McConnel,53062,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102,," Metro South Hospital and Health Service - Princess Alexandra Hospital 
 Metro North Hospital and Health Service - Royal Brisbane and Women's Hospital 
 Allysta Pharmaceuticals Inc 
 Arrevus Inc 
 Translational Research Institute (TRI)","Preventing the respiratory failure causing COVID-19 mortality, potent new drugs targeting hyperinflammation – Lisa Philp",Woolloongabba,4102,"Princess Alexandra Hospital, Woolloongabba, Queensland; Royal Brisbane and Women's Hospital, Herston, Queensland",Brisbane (C),Brisbane and Redlands,South Brisbane,150000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102,," Metro South Hospital and Health Service - Princess Alexandra Hospital 
 Carpe Vitae Pharmaceuticals Pty Ltd",Stopping COVID-19 by targeting the viral replication - Mark Adams,Woolloongabba,4102,Princess Alexandra Hospital,Brisbane (C),Brisbane and Redlands,South Brisbane,135223,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Griffith University,Southport,4215,, Gold Coast Hospital and Health Service,"Evaluation of COVID-19 antiviral and vaccine candidates, using a non-infectious virus-like-particle platform – Belinda deVilliers",Southport,4215,"Southport, Queensland, Australia",Gold Coast (C),Gold Coast,Bonney,74786,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Griffith University,Southport,4215,, Autism Queensland Limited,Optimising telehealth to future-proof the delivery of autism related services – David Trembath,Sunnybank Hills,4109,"Brighton, QLD; Gladstone, QLD; Rockhamptom, QLD; Mackay, QLD; Cairns, QLD; Southport, QLD",Gold Coast (C),Brisbane and Redlands,Bonney,150000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Griffith University,Mount Gravatt,4122,," Australian Catholic University 
 Mater Education Limited",Improving Advanced Life Support training for frontline healthcare workers under novel conditions – Yoriko Kikkawa,Mount Gravatt,4122,"Mater Education, Duncombe Building, Raymond Terrace, South Brisbane, Queensland",Brisbane (C),Brisbane and Redlands,Mansfield,180000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Griffith University,Nathan,4111,," The University of Queensland 
 Gold Coast Hospital and Health Service 
 Spinal Life Australia Ltd 
 Metro South Hospital and Health Service 
 Motor Accident Insurance Commission 
 Advanced Robotics For Manufacturing Hub Ltd",Accelerating technology uptake during a pandemic: enabling and extending delivery of rehabilitation - Camila Shirota,Nathan,4111,"Cairns North, QLD 4870, Meadowbrooke, QLD,  4131, Southport, QLD, 4215",Brisbane (C),Brisbane and Redlands,Toohey,90000,2020-07-16,2020,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,, Queensland Tourism Industry Council Ltd,Queensland Tourism Workforce Strategy V2: A Crisis Resilience and Recovery Plan - Richard Robinson,St Lucia,4067,"5/189 Grey St, South Brisbane QLD 4101 & multiple regional locations throughout Queensland for data collection",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Manildra Harwood Sugar trading as Sunshine Sugar 
 IPKIS Pty Ltd",Nanofibers with antiviral activity: potential applications for improving personal protective equipment safety- Nasim Amiralian,St Lucia,4067,"Condong Sugar Mill, 153 McLeod Street, Condong, NSW, 2484",Brisbane (C),Brisbane and Redlands,Maiwar,300000,2020-07-16,2020,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Queensland Ballet Company 
 La Boite Theatre Ltd 
 Arts Nexus Inc",Creating out loud: Developing sustainable peer-mentoring to rebuild the arts post COVID-19 – Kate Power,St Lucia,4067,"Brisbane, Cairns",Brisbane (C),Brisbane and Redlands,Maiwar,90000,2020-07-16,2020,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,, Australian Coal Research Limited,Developing on-line oxidation measurement for remote operation of coal mines during pandemic - Xumeng Chen,Indooroopilly,4068,"Oaky Creek Mine, Tieri, Queensland and Newlands Mine, Glenden, Queensland",Brisbane (C),Brisbane and Redlands,Maiwar,150000,2020-07-16,2020,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Griffith University,Nathan,4111,," Cavalier Bremworth Pty Ltd 
 Aurizon Operations Limited 
 Cater Care Australia Pty Ltd 
 Queensland University of Technology",Development and evaluation of crisis management toolkits for Queensland industry – Tristan Casey,Nathan,4111,Brisbane City,Brisbane (C),Brisbane and Redlands,Toohey,55000,2020-07-16,2020,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,James Cook University,Douglas (Townsville),4814,," Burdekin Shire Council 
 Isaac Regional Council 
 Whitsunday Regional Council 
 Mackay Regional Council 
 Townsville City Council 
 Queensland Water Directorate 
 Cairns Regional Council",Identifying and mitigating future risks from  Queensland wastewater industry through biosolids technology innovation - Elsa Antunes,Douglas,4814,"Mackay, QLD; Proserpine, QLD; Ayr, QLD; Moranbah, QLD",Townsville (C),Townsville,Mundingburra,180000,2020-07-16,2020,0,0
Cities,Female Founders Program,Scrunch Program,Scrunch Enterprises Pty Ltd,West End,4101,,,Female Founders Scrunch Program,West End,4101,,Brisbane (C),Brisbane and Redlands,South Brisbane,95409,2020-08-07,2020,0,0
Cities,Innovation Precincts and Places,,Queensland Treasury Corporation,Brisbane City,4000,University of Queensland,University of Queensland,Comparative Economic Analysis of Innovation Precincts,St Lucia,4067,University of Queensland,Brisbane (C),Brisbane and Redlands,McConnel,10000,2020-08-26,2020,0,0
Regional Councils,Open Innovation Challenge,Round 1,Start-up Gladstone Inc,Gladstone,4680,,,Blueprint Accelerator: Here for Gladstone - Here for Innovation (Innov8ors),Gladstone,4680,,Gladstone (R),Central Queensland,Gladstone,74000,2020-09-03,2020,0,0
Cities,Deadly Innovation,Round 1,Solar Relief Pty Ltd,Kirwan,4817,,,Commercialisation of Portable Power Supply.,Kirwan,4817,Brisbane,Townsville (C),Townsville,Thuringowa,75000,2020-09-08,2020,1,0
Cities,Industry Tech Fund,AQ IndustryTech Fund 2019-20 Round 2,Xing Group Holdings Pty Ltd,Sinnamon Park,4073,," Commonwealth Scientific And Industrial Research Organisation 
 Wagner Corporation Pty Ltd 
 Luina Bio Pty Ltd 
 Lumos Diagnostics Pty Ltd 
 RhinoMed Limited","XavTrap® Platform Development and Deployment for detection of COVID-19, influenzas and other contagious viral pathogens in humans",Sinnamon Park,4073,,Brisbane (C),Brisbane and Redlands,Mount Ommaney,546027,2020-09-15,2020,0,1
Regional Councils,Agtech and Logistics Hub,,Agrifood Connect Limited,Toowoomba City,4350,"University of Southern Queensland
University of Queensland","Toowoomba and Surat Basin Enterprise
FKG Group",Agtech and Logistics Hub,Toowoomba City,4350,,Toowoomba (R),Darling Downs,Toowoomba North,3000000,2020-09-25,2020,0,0
Cities,Deadly Innovation,Round 1,Islex Australia Pty Ltd,Kingston,4114,,,Smart Syphon Commercialisation,Kingston,4114,Cotton Farm locations across regional Queensland and NSW.,Logan (C),Logan,Waterford,100000,2020-09-30,2020,1,0
Regional Councils,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Health Management Pty Ltd,Cairns North,4870,," The Space Australasia Pty Ltd 
 Didgigo Marketing Pty Ltd 
 Amazon Web Services Australia Pty Ltd 
 James Cook University - Cairns Campus - Master 
 Department of Industry, Science, Energy and Resources 
 PieLAB Capital Pty Ltd  Central Queensland University - Cairns Campus - Master 
 Cairns Regional Council 
 FNQ Angels Inc 
 Cairns Chamber of Commerce Inc 
 MacDonnells Law Pty Ltd 
 Art Work Space Pty Ltd",Launch FNQ Innovation Ecosystem Activation and Education Project,Cairns North,4870,,Cairns (R),Far North Queensland,Cairns,230000,2020-11-11,2020,0,0
Regional Councils,Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Tablelands Regional Council,Atherton,4883,," Rural And Remote Innovation Australia (RRIA) Inc 
 James Cook University (JCU) 
 AusIndustry 
 iiHub Ltd 
 YEP Entrepreneurship Facilitators Cairns 
 Telstra Corporation Limited 
 Natural Evolution Pty Ltd  Farmer Meets Foodie",Tablelands Innovation Program,Atherton,4883,,Tablelands (R),Far North Queensland,Hill,45000,2020-11-11,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,MCT (Australia) Pty Ltd,Brisbane City,4000,,,Pro-grade physio relief anywhere – BearTrap,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2020-12-02,2020,0,1
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Docto Holdings Pty Ltd,Broadbeach Waters,4218,,,Medical Specialist Telehealth Service for Rural Queensland,Broadbeach Waters,4218,,Gold Coast (C),Gold Coast,Surfers Paradise,200000,2020-12-02,2020,0,1
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Amtac Professional Services Pty Ltd,Greenbank,4124,,,BackFlowID,Greenbank,4124,,Logan (C),Logan,Logan,99603,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Anti Ordinary Pty Ltd,Mt Gravatt,4122,,,Anti Ordinary Global Launch,Mt Gravatt,4122,,Brisbane (C),Brisbane and Redlands,Greenslopes,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,AssetAccountant Pty Ltd,Newstead,4006,,,AssetAccountant (AA) Global Readiness,Newstead,4006,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,BidCrete Pty Ltd,West End,4101,,,Bidcrete,West End,4101,,Brisbane (C),Brisbane and Redlands,South Brisbane,100000,2020-12-02,2020,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Cardly Pty Ltd,Buderim,4556,,,Promoting Cardly to Australia & the World,Buderim,4556,,Sunshine Coast (R),Sunshine Coast,Buderim,100000,2020-12-02,2020,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,GB Operations Pty Ltd,Birtinya,4575,,,GreaseBoss Industry Trials and Market Launch,Birtinya,4575,,Sunshine Coast (R),Sunshine Coast,Kawana,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Padmore City Pty Ltd,Ashgrove,4060,,,"Online Virtual, City-Themed Learning Platform.",Ashgrove,4060,,Brisbane (C),Brisbane and Redlands,Cooper,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Pinch Labs Pty Ltd,Fortitude Valley,4006,,,Notiv Commercialisation in Professional Services Market,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,150000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Puctto Pty Ltd,Indooroopilly,4068,,,Commercialisation of PUCTTO: Fashion Visualization Technology,Indooroopilly,4068,,Brisbane (C),Brisbane and Redlands,Maiwar,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Scott Airway Management Pty Ltd,Teneriffe,4005,,,SAM Safety Seal  - oropharyngeal shield,Teneriffe,4005,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,SensaWeb Pty Ltd,Karana Downs,4306,,,SensaWeb Real-time Radiation Area Monitoring,Karana Downs,4306,,Brisbane (C),Ipswich,Moggill,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Social Impact Group Pty Ltd,Southport,4215,,,Little Phil Fundraising Platform,Southport,4215,,Gold Coast (C),Gold Coast,Southport,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Sunbirds Aero Pty Ltd,Fortitude Valley,4006,,,Solar Powered Drones for Long Range Mapping Solutions,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,50000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Wildfire Energy Pty Ltd,Brisbane City,4000,,,Waste to Hydrogen,Murarrie,4172,,Brisbane (C),Brisbane and Redlands,McConnel,200000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Fiffy Solutions Pty Ltd,West End,4101,,,Commercialisation of People Counting Solution,St Lucia,4067,,Brisbane (C),Brisbane and Redlands,South Brisbane,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,IDU Technologies Pty Ltd,Carina,4152,,,IDU Verification of Identity (VOI) Scale Up Programme,Carina,4152,,Brisbane (C),Brisbane and Redlands,Bulimba,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,IISolutions Pty Ltd,Darra,4076,,,Smart City Infrastructure Management OSP,Darra,4076,,Brisbane (C),Ipswich,Mount Ommaney,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Law On Earth Au Pty Ltd,Brisbane City,4000,,,"Automated, Self-Service legal platform",Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Literacy for Boys Pty Ltd,Sherwood,4075,,,Literacy for Boys Commercialisation,Sherwood,4075,,Brisbane (C),Brisbane and Redlands,Miller,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,National Plastics & Rubber Pty Ltd,Sumner,4074,,,HoseMate™ Commercialisation,Sumner,4074,,Brisbane (C),Ipswich,Mount Ommaney,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Native Beeings Pty Ltd,Cleveland,4163,,,Commercialising Australian Native Bee Propolis Products,Laidley,4341,,Redland (C),Ipswich,Oodgeroo,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Bidhive Pty Ltd,Ashgrove,4060,,,Bidhive mid-market channel partner project,Ashgrove,4060,,Brisbane (C),Brisbane and Redlands,Cooper,180000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Bioherbicide Australia Pty Ltd,Annerley,4103,,,Di-Bak G scale up to broader market,Gatton,4343,,Brisbane (C),Darling Downs,Miller,200000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Blenktech Pty Ltd,Spring Hill,4000,,,"ProcurePro: AI-based, Scalable, High-Volume Contracting Software for Construction/Infrastructure",Newmarket,4051,,Brisbane (C),Brisbane and Redlands,McConnel,200000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Cake Equity Pty Ltd,Palm Beach,4221,,,Cake Sydney Launch,Palm Beach,4221,,Gold Coast (C),Gold Coast,Burleigh,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Calvett Co Pty Ltd,Carrara,4211,,,Commercialisation of The Herd digital platform,Carrara,4211,,Gold Coast (C),Gold Coast,Mudgeeraba,100000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Canaria Technologies Pty Ltd,Hendra,4011,,,Commercialising the Canaria-V,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,Clayfield,200000,2020-12-02,2020,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Charlton Innovation Pty Ltd,Windsor,4030,,,International Commercialisation of Lock Jaw Ladder Grip,Windsor,4030,,Brisbane (C),Brisbane and Redlands,Clayfield,100000,2020-12-02,2020,0,0
Cities,Deadly Innovation,Round 1,Pwron Pty Ltd,New Farm,4005,,,PWRON Temperature Alert Log System,New Farm,4005,"Mount Low, QLD",Brisbane (C),Brisbane and Redlands,McConnel,100000,2020-12-22,2020,1,0
Cities,Queensland Future Skills Project,Round 1,TAFE Queensland,South Brisbane,4101,,,Queensland Future Skill Partnership Project,South Brisbane,4101,Mackay and state-wide online courses,Brisbane (C),Brisbane and Redlands,South Brisbane,157440,2021-02-22,2021,0,0
Regional Councils,Regional Network Fund,,James Cook University,Smithfield,4878,,,FNQ Innovation Strategy and Action Plan,Smithfield,4878,,Cairns (R),Far North Queensland,Barron River,25108,2021-03-03,2021,0,0
Regional Councils,Regional Futures - Events and Activations,Round 1,Resources Centre of Excellence Ltd (RCOE),Paget,4740,,,LeadIN 2022 - event series Mackay-Whitsunday,Paget,4740,"Bowen, Moranbah",Mackay (R),Mackay-Whitsunday,Mirani,20000,2021-07-28,2021,0,0
Cities,Regional Futures - Events and Activations,Round 1,Bright Humans Pty Ltd,Teneriffe,4005,,,Something Digital 2021,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,15000,2021-08-12,2021,0,0
Regional Councils,Deadly Innovation,Round 1,Davis Trading Pty Ltd,Kawana,4701,,,Effective Feral Pig Control Traps,Kawana,4701,,Rockhampton (R),Central Queensland,Rockhampton,100000,2021-08-13,2021,1,0
Regional Councils,Regional Futures - ED PUQRSIN,Pilot,Amaroo Environmental Education Centre,Kleinton,4352,University of Southern Queensland,"Regional Development Australia, Integrated STEM, Cobb+Co Museum.",Partner Up Queensland Regional Science and Innovation Network - Darling Downs Queensland Hub,Kleinton,4352,Darling Downs and South West,Toowoomba (R),Darling Downs,Condamine,203750,2021-10-06,2021,0,0
Regional Councils,Regional Futures - ED PUQRSIN,Pilot,Central Queensland University,Callemondah,4680,,"Boyne Island Environmental Education Centre, Gladstone Regional Council",Partner Up Queensland Regional Science and Innovation Network - Central Queensland Hub,Callemondah,4680,Central Queensland,Gladstone (R),Central Queensland,Gladstone,203750,2021-10-06,2021,0,0
Regional Councils,Regional Futures - ED PUQRSIN,Pilot,James Cook University,Smithfield,4878,,"Cairns Regional Council, Gulf Savannah NRM, YEP, Cairns Chamber of Commerce and Regional Development Australia - Tropical North",Partner Up Queensland Regional Science and Innovation Network - Far North Queensland Hub,Smithfield,4878,Far North Queensland,Cairns (R),Far North Queensland,Barron River,203750,2021-10-06,2021,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,University of Southern Queensland,Springfield Central,4300,," Cogninet Australia Pty Ltd 
 Goondir Aboriginal & Torres Strait Islanders Corporation for Health Services",Early detection of chronic health conditions using AI prediction model- Xujuan Zhou,Springfield Central,4300,"Goondir Health Services, Dalby",Ipswich (C),Ipswich,Jordan,360000,2021-10-20,2021,1,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,The University of Queensland,St Lucia,4067,, Vaxxas Pty Ltd,Enhancing pandemic preparedness through nucleic acid Nanopatch skin vaccination – Christopher McMillan,St Lucia,4072,"Vaxxas, Woolloongabba, Queensland",Brisbane (C),Brisbane and Redlands,Maiwar,240000,2021-10-20,2021,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111,," University of Melbourne 
 Macadamias Direct 
 CL MACS 
 Suncoast Gold 
 K D Barber and KH Jones T/A Cropwatch Independent Laboratories 
 Marquis Macadamias Ltd 
 The Trustee for Emerald First Unit Trust T/A Applied Infrared Sensing 
 Australian Macadamia Society Limited",Advancing Queensland nut industry using machine vision - Shahla Hosseini Bai,Nathan,4111,"Bundaberg QLD,  Gympie DLD,  Wardell NSW",Brisbane (C),Brisbane and Redlands,Toohey,100000,2021-10-20,2021,0,0
